Protein,beta,se,pval,QEp,RR,RR_LCI,RR_UCI
KLK6,0.03505754312595433,0.05069240595060177,0.48920497881322583,0.306911865237521,1.0356793033095784,0.9377257530929278,1.1438649474709655
LEP,0.235987344517639,0.05451407740220652,1.498390464880086e-5,0.9542021995983923,1.2661582862216272,1.1378513646650525,1.408933412176912
LOX-1,0.20807458167497278,0.04776533288451458,1.3234949729930058e-5,0.08722427807805855,1.2313049989136526,1.1212635841615832,1.3521459376417828
MB,0.13008111167827865,0.047212629584597716,0.005865294694975424,0.07418980000330075,1.1389207593524013,1.0382598162311878,1.2493409412611014
MCP-1,0.14251521196142927,0.046021197633905185,0.0019566816731561814,0.279234624232229,1.1531706228109817,1.0537079475097795,1.2620218804052683
MMP-1,0.12574999343614907,0.049588088134483385,0.011216159376517336,0.8044418297989442,1.1339986257409203,1.0289708486149607,1.2497466618352153
MMP-10,0.14288128268632433,0.0456716751138951,0.0017573443318604515,0.013066904424279234,1.1535928420931463,1.0548161057085546,1.2616193838210465
MMP-12,0.3737041114605534,0.04621584755362407,6.162588874317318e-16,0.8374997648817453,1.4531071290947062,1.327268027175434,1.5908771140365645
MMP-3,0.2027378576172911,0.05063400988670353,6.228409946453339e-5,0.7037086656772759,1.224751366920654,1.109042490461383,1.3525324085193302
MMP-7,0.2783031526369946,0.11477274360952203,0.015316012214015818,0.4467649038900408,1.3208865667653715,1.0548016172822923,1.6540942805496972
MPO,0.09993897848364244,0.04672098659854556,0.03243083558127533,0.20636739992597533,1.1051034809279718,1.0084026330333367,1.2110774640537327
NEMO,0.1887725223587823,0.06583049762429131,0.004136578966644117,0.23330669737437226,1.207766181429857,1.061568061071352,1.3740985646586945
NT-pro_BNP,0.6147529186279724,0.06541032394269701,5.539479261336812e-21,0.2760927550202615,1.8491996403233104,1.6266961230789891,2.102137738731068
OPG,0.312237686585747,0.04793523972039864,7.330235236545454e-11,0.2363985870072727,1.3664794482675213,1.243943211236393,1.5010862760218586
PAPPA,0.042555360994693495,0.05180811275548369,0.4114165162268043,0.21456124775099272,1.0434738225234192,0.9427193316446405,1.1549965952136378
PAR-1,0.3348829177198949,0.054718920457893394,9.354183084520911e-10,0.8626641150369376,1.3977767207560057,1.2556279479126868,1.55601805800461
PDGF,0.034150087568332446,0.051293381187829,0.5055519765344495,0.10183345587793961,1.0347398966692292,0.9357723085389004,1.1441743295768174
PECAM-1,0.10150618450489066,0.04803702839917962,0.03459374208480361,0.14087051187503494,1.1068367636081462,1.0073824558674842,1.2161097447538924
PlGF,0.379243132675643,0.04931172698851007,1.4629893000579412e-14,0.7319660676978852,1.4611782527374324,1.3265663653501587,1.609449735829276
PSGL-1,0.09548452024657311,0.050915685422969925,0.06074515708836138,0.7194168335712834,1.100191791204469,0.9957008783645898,1.2156481968980297
PTX3,0.19944797591058097,0.0790694152637151,0.011654332690859304,0.7683651916420718,1.2207287004799383,1.045478598654749,1.4253553942595285
RAGE,0.11739558257064046,0.04799944500674691,0.014454334358062329,0.7872059476722217,1.1245641997100746,1.023592398545348,1.2354963177401257
REN,0.2682412892166781,0.048441398637951945,3.069265706536474e-8,0.20268702385750478,1.3076626268425307,1.1892203121658118,1.4379013948445631
RETN,0.22851649433357962,0.04753868494364468,1.5324364593465738e-6,0.09104034107132071,1.2567342539549489,1.1449287224940685,1.3794579121250792
SCF,-0.07903510484328259,0.04823098440432135,0.1012801144802019,0.007848739644636218,0.9240074867377159,0.8406615839363076,1.015616571355112
SELE,0.12167986593965822,0.0481826694385855,0.011557108601294183,0.17061704385426735,1.1293924868982366,1.0276180683545324,1.2412465572005895
SIRT2,0.15968511467903246,0.06407401661888323,0.012695536219689196,0.3191586566652152,1.1731414078168572,1.034690501634625,1.330118291953268
SPON1,0.3839714212712084,0.05427817911830113,1.5037874558689205e-12,0.8072289390628651,1.4681034845511285,1.31994246041426,1.6328953011139007
SRC,0.04703690239186102,0.049349580349073004,0.34052074948745975,0.07338828807756165,1.0481606880024208,0.9515276838208466,1.1546073188981014
ST2,0.24075445330140302,0.047375708662438176,3.738509754089254e-7,0.9277702418764241,1.272208610328145,1.1593966848830062,1.3959973918300383
TF,0.16580040088290418,0.05470934847973941,0.0024409421417522273,0.681382709024305,1.180337483889843,1.0603213772369535,1.313938024625965
TIE2,0.036067110160604765,0.06256574964842243,0.5642993513201789,0.48336371630303465,1.0367254189657575,0.917080975509174,1.171978945188547
TM,0.18100583490719385,0.05294657919262308,6.293256746200469e-4,0.3085388038117115,1.1984221719549513,1.080293157665335,1.329468479960649
TNF-R1,0.3864978021208175,0.049180724886404376,3.880625251370914e-15,0.1535252937136973,1.4718171621865297,1.3365682915661474,1.6207520203613937
TNF-R2,0.3468324480965602,0.04907927116389756,1.5856919765236528e-12,0.2532559644293998,1.4145796899934933,1.284845970988882,1.557412907480256
TNFSF14,0.10012805363144105,0.04908891609271574,0.04137739001083727,0.11093760467430915,1.1053124482866057,1.003923221815044,1.21694127776876
t-PA,0.12619118247573757,0.048884008275376194,0.009838881173866788,0.10820813999965055,1.1344990438868892,1.0308464767685426,1.2485739725424287
TRAIL,-0.03961310204597034,0.04903015241973547,0.41912887221651496,0.0010713980773994604,0.9611612385401579,0.8730954138100139,1.0581099291778855
TRAIL-R2,0.4938440448246545,0.04625962451663671,1.3255982791770044e-26,0.0418491866209256,1.63860299224868,1.4965715321993482,1.7941138852617666
TRANCE,-0.07196422105029354,0.04940452660553344,0.14521795234324544,0.6660440225167287,0.9305641898249362,0.8446817803370431,1.0251786312225302
U-PAR,0.42814744792862014,0.05084126474123832,3.724604908749151e-17,0.05669522680347329,1.5344123102054426,1.3888837960305749,1.6951894351701209
